Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM
2025-10-06 22:27:38,NIFTY14OCT25C25200,42687,Yes,-75,0,75,84.80,84.80,NRML,IBBM Intraday,88.20,-255.00,0.00,-255.00
2025-10-06 22:27:39,NIFTY14OCT25P25100,42684,Yes,-75,0,75,113.10,113.10,NRML,IBBM Intraday,110.30,210.00,0.00,210.00
2025-10-06 22:27:39,NIFTY14OCT25C25150,42685,No,0,150,75,76.50,72.53,NRML,Position Not Active,110.55,0.00,-596.25,0.00
2025-10-06 22:27:40,NIFTY14OCT25C25200,42687,No,0,150,150,87.83,88.33,MIS,IBBM Intraday,88.20,0.00,75.00,0.00
2025-10-06 22:27:41,NIFTY14OCT25P24750,42660,No,0,75,75,59.90,67.40,NRML,Position Not Active,28.95,0.00,562.50,0.00
2025-10-06 22:27:41,NIFTY14OCT25P24950,42672,No,0,75,75,65.45,82.20,NRML,Position Not Active,61.25,0.00,1256.25,0.00
