symbol,token,strategy,spot_price,assigned_date,status
NIFTY30SEP25P23850,60358,Monthly Straddle,25331.0,2025-09-18 03:37:03,Active
NIFTY30SEP25C24650,60455,Monthly Straddle,25331.0,2025-09-18 03:37:03,Active
NIFTY30SEP25P23900,60362,Monthly Straddle,25331.0,2025-09-18 03:37:06,Active
NIFTY30SEP25C26200,60566,Monthly Straddle,25331.0,2025-09-18 03:37:13,Active
NIFTY30SEP25P25500,60500,Monthly Straddle,25331.0,2025-09-18 15:19:47,Active
NIFTY30SEP25C25200,60487,Monthly Straddle,25211.4,2025-09-22 15:23:33,Active
NIFTY30SEP25C25150,60485,Monthly Straddle,25097.2,2025-09-24 12:32:02,Active
NIFTY30SEP25P25050,60482,IBBM Intraday,25117.1,2025-09-24 13:00:47,Active
