Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM
2025-09-23 22:41:30,NIFTY30SEP25C24650,60455,Yes,-75,0,75,343.85,343.85,NRML,Monthly Straddle,620.00,1473.75,0.00,-20711.25
2025-09-23 22:41:30,NIFTY30SEP25C25200,60487,Yes,-75,0,75,179.95,179.95,NRML,Monthly Straddle,150.00,2250.00,0.00,2246.25
2025-09-23 22:41:31,NIFTY30SEP25P25500,60500,Yes,-150,75,150,211.32,211.32,NRML,Monthly Straddle,282.00,2747.50,-520.00,-10602.00
2025-09-23 22:41:31,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.40,18.40,NRML,Monthly Straddle,2.95,-63.75,-0.00,-1158.75
2025-09-23 22:41:32,NIFTY30SEP25P23900,60362,Yes,75,75,0,9.70,9.70,NRML,Monthly Straddle,2.80,-90.00,-0.00,-517.50
2025-09-23 22:41:32,NIFTY30SEP25C26200,60566,Yes,150,150,0,4.13,4.13,NRML,Monthly Straddle,1.65,-135.00,-0.00,-372.00
