timestamp,status,comments,nifty_price,nifty_ma12,trend,ce_symbol,ce_entry_price,ce_ltp,ce_sl_price,ce_trailing_step,pe_symbol,pe_entry_price,pe_ltp,pe_sl_price,pe_trailing_step
2025-09-25 09:45:57,VIRTUAL_ACTIVE,Virtual positions opened,25041.75,25083.529134114582,down,NIFTY30SEP25C25100,86.0,86.0,103.2,0,NIFTY30SEP25P25050,83.6,83.6,100.35,0
2025-09-25 09:45:57,VIRTUAL_ACTIVE,First monitoring check,25040.099609375,25083.3916015625,down,NIFTY30SEP25C25100,86.0,86.0,103.2,0,NIFTY30SEP25P25050,83.6,83.6,100.35,0
2025-09-25 10:36:58,ACTIVE,Real CE position entered,25040.099609375,25083.3916015625,down,NIFTY30SEP25C25100,86.0,70.75,103.2,0,NIFTY30SEP25P25050,83.6,101.0,100.35,0,Active
2025-09-25 10:37:13,ACTIVE,PE SL Hit at 104.75,25040.099609375,25083.3916015625,down,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,Stopped
