Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM,source_file
10/09/2025 23:59,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0,343.85,NRML,Monthly Straddle,507.5,-6461.25,0,-12273.75,2025-09-10_positions.csv
10/09/2025 23:59,NIFTY30SEP25P24650,60456,Yes,-75,75,75,0,162.07,NRML,Monthly Straddle,83.05,1419.37,1291.88,5926.5,2025-09-10_positions.csv
10/09/2025 23:59,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0,227.05,NRML,Monthly Straddle,227.7,-48.75,0,-48.75,2025-09-10_positions.csv
10/09/2025 23:59,INFY-EQ,1594,Yes,-2,0,2,0,1522.5,CNC,,1532.6,-20.2,0,-20.2,2025-09-10_positions.csv
10/09/2025 23:59,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0,NRML,Monthly Straddle,17.55,-63.75,0,-63.75,2025-09-10_positions.csv
11/09/2025 23:30,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0,343.85,NRML,Monthly Straddle,524.9,-1500,0,-13578.75,2025-09-11_positions.csv
11/09/2025 23:30,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0,85.1,NRML,Monthly Straddle,66.25,1215,0,1413.75,2025-09-11_positions.csv
11/09/2025 23:30,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0,227.05,NRML,Monthly Straddle,200,2283.75,0,2028.75,2025-09-11_positions.csv
11/09/2025 23:30,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0,NRML,Monthly Straddle,13.7,-281.25,0,-352.5,2025-09-11_positions.csv
12/09/2025 17:50,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0,343.85,NRML,Monthly Straddle,603,-5763.75,0,-19436.25,2025-09-12_positions.csv
12/09/2025 17:50,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0,85.1,NRML,Monthly Straddle,46,1680,0,2932.5,2025-09-12_positions.csv
12/09/2025 17:50,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0,227.05,NRML,Monthly Straddle,146.7,4192.5,0,6026.25,2025-09-12_positions.csv
12/09/2025 17:50,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0,NRML,Monthly Straddle,12.1,-161.25,0,-472.5,2025-09-12_positions.csv
12/09/2025 17:50,NIFTY23SEP25P23950,47569,No,0,75,75,5.55,5.55,NRML,Monthly Straddle,6,0,0,0,2025-09-12_positions.csv
12/09/2025 17:50,NIFTY23SEP25P25000,47734,No,0,75,75,81.65,82.6,NRML,Monthly Straddle,78.6,0,71.25,0,2025-09-12_positions.csv
13/09/2025 23:59,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0,343.85,NRML,Monthly Straddle,608.6,-225,0,-19856.25,2025-09-13_positions.csv
13/09/2025 23:59,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0,85.1,NRML,Monthly Straddle,48.7,-135,0,2730,2025-09-13_positions.csv
13/09/2025 23:59,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0,227.05,NRML,Monthly Straddle,151.95,-191.25,0,5632.5,2025-09-13_positions.csv
13/09/2025 23:59,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0,NRML,Monthly Straddle,12.7,60,0,-427.5,2025-09-13_positions.csv
14/09/2025 23:58,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0,343.85,NRML,Monthly Straddle,608.6,-225,0,-19856.25,2025-09-14_positions.csv
14/09/2025 23:58,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0,85.1,NRML,Monthly Straddle,48.7,-135,0,2730,2025-09-14_positions.csv
14/09/2025 23:58,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0,227.05,NRML,Monthly Straddle,151.95,-191.25,0,5632.5,2025-09-14_positions.csv
14/09/2025 23:58,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0,NRML,Monthly Straddle,12.7,60,0,-427.5,2025-09-14_positions.csv
15/09/2025 23:57,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0,343.85,NRML,IBBM Intraday,562.55,3228.75,0,-16402.5,2025-09-15_positions.csv
15/09/2025 23:57,NIFTY30SEP25P25100,60484,Yes,-150,0,75,0,189.47,NRML,IBBM Intraday,154,-502.5,0,5320.5,2025-09-15_positions.csv
15/09/2025 23:57,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0,NRML,IBBM Intraday,10.8,-82.5,0,-570,2025-09-15_positions.csv
15/09/2025 23:57,NIFTY30SEP25P24650,60456,No,0,75,75,45.05,46.9,NRML,IBBM Intraday,45,0,138.75,0,2025-09-15_positions.csv
15/09/2025 23:57,NIFTY16SEP25C25450,44813,No,0,75,75,2.15,1.85,NRML,IBBM Intraday,1.7,0,-22.5,0,2025-09-15_positions.csv
15/09/2025 23:57,NIFTY16SEP25C25100,44713,No,0,75,75,53.65,56.15,NRML,IBBM Intraday,45.4,0,187.5,0,2025-09-15_positions.csv
16/09/2025 13:47,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0,343.85,NRML,Monthly Straddle,664.4,-7770,0,-24041.25,2025-09-16_positions.csv
