symbol,token,strategy,spot_price,assigned_date,status
NIFTY14OCT25P24750,42660,IBBM Intraday,27515.9,2025-10-04 12:28:17,Active
NIFTY14OCT25C25150,42685,IBBM Intraday,27515.9,2025-10-04 12:28:24,Active
