Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM
2025-09-12 17:50:46,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0.00,343.85,NRML,,603.00,-5763.75,0.00,-19436.25
2025-09-12 17:50:46,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0.00,85.10,NRML,,46.00,1680.00,0.00,2932.50
2025-09-12 17:50:46,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0.00,227.05,NRML,,146.70,4192.50,0.00,6026.25
2025-09-12 17:50:46,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.40,0.00,NRML,,12.10,-161.25,-0.00,-472.50
2025-09-12 17:50:46,NIFTY23SEP25P23950,47569,No,0,75,75,5.55,5.55,NRML,,6.00,0.00,0.00,0.00
2025-09-12 17:50:46,NIFTY23SEP25P25000,47734,No,0,75,75,81.65,82.60,NRML,,78.60,0.00,71.25,0.00
