Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM
2025-10-03 21:51:51,NIFTY14OCT25P24750,42660,Yes,-75,75,150,82.33,82.33,NRML,IBBM Intraday,65.05,1295.63,-504.38,1296.00
2025-10-03 21:51:51,NIFTY14OCT25C25150,42685,Yes,-75,0,75,55.35,55.35,NRML,IBBM Intraday,55.00,26.25,0.00,26.25
2025-10-03 21:51:52,NIFTY14OCT25C25050,42677,No,0,150,150,86.88,86.15,NRML,IBBM Intraday,89.90,0.00,-108.75,0.00
2025-10-03 21:51:52,NIFTY14OCT25C25000,42673,No,0,150,150,98.22,86.80,NRML,IBBM Intraday,112.00,0.00,-1713.75,0.00
2025-10-03 21:51:52,NIFTY14OCT25P24650,42652,No,0,150,150,60.42,66.72,NRML,IBBM Intraday,44.20,0.00,945.00,0.00
2025-10-03 21:51:53,NIFTY14OCT25P24850,42668,No,0,75,75,105.85,106.70,NRML,IBBM Intraday,93.30,0.00,63.75,0.00
