DateTime,Symbol,SoldPrice,LTP,VWAP,SLPrice
2025-09-26 09:48:13.624760+05:30,NIFTY30SEP25C24900,175.4,67.05,83.57,210.5
2025-09-26 09:48:13.624760+05:30,NIFTY30SEP25C24950,122.2,49.2,62.24,146.65
2025-09-26 09:48:13.624760+05:30,NIFTY30SEP25P25050,103.9,221.0,201.08,124.7
2025-09-26 09:48:13.624760+05:30,NIFTY30SEP25P25500,354.15,649.0,620.18,425.0
2025-09-26 09:48:20.087702+05:30,NIFTY30SEP25C24900,175.4,68.5,83.57,210.5
2025-09-26 09:48:20.087702+05:30,NIFTY30SEP25C24950,122.2,50.5,62.24,146.65
2025-09-26 09:48:20.087702+05:30,NIFTY30SEP25P25050,103.9,219.3,201.08,124.7
2025-09-26 09:48:20.087702+05:30,NIFTY30SEP25P25500,354.15,649.0,620.18,425.0
2025-09-26 09:48:32.901610+05:30,NIFTY30SEP25C24900,175.4,70.2,83.57,210.5
2025-09-26 09:48:32.901610+05:30,NIFTY30SEP25C24950,122.2,51.55,62.24,146.65
2025-09-26 09:48:32.901610+05:30,NIFTY30SEP25P25050,103.9,216.95,201.08,124.7
2025-09-26 09:48:32.901610+05:30,NIFTY30SEP25P25500,354.15,644.0,620.18,425.0
2025-09-26 09:48:40.052231+05:30,NIFTY30SEP25C24900,175.4,70.0,83.57,210.5
2025-09-26 09:48:40.052231+05:30,NIFTY30SEP25C24950,122.2,51.5,62.24,146.65
2025-09-26 09:48:40.052231+05:30,NIFTY30SEP25P25050,103.9,217.8,201.08,124.7
2025-09-26 09:48:40.052231+05:30,NIFTY30SEP25P25500,354.15,644.35,620.18,425.0
2025-09-26 09:48:52.858384+05:30,NIFTY30SEP25C24900,175.4,73.7,83.57,210.5
2025-09-26 09:48:52.858384+05:30,NIFTY30SEP25C24950,122.2,54.65,62.24,146.65
2025-09-26 09:48:52.858384+05:30,NIFTY30SEP25P25050,103.9,212.45,201.08,124.7
2025-09-26 09:48:52.858384+05:30,NIFTY30SEP25P25500,354.15,638.0,620.18,425.0
2025-09-26 09:49:00.100150+05:30,NIFTY30SEP25C24900,175.4,72.55,83.57,210.5
2025-09-26 09:49:00.100150+05:30,NIFTY30SEP25C24950,122.2,53.25,62.24,146.65
2025-09-26 09:49:00.100150+05:30,NIFTY30SEP25P25050,103.9,213.5,201.08,124.7
2025-09-26 09:49:00.100150+05:30,NIFTY30SEP25P25500,354.15,638.7,620.18,425.0
2025-09-26 09:49:13.049876+05:30,NIFTY30SEP25C24900,175.4,71.65,83.57,210.5
2025-09-26 09:49:13.049876+05:30,NIFTY30SEP25C24950,122.2,52.8,62.24,146.65
2025-09-26 09:49:13.049876+05:30,NIFTY30SEP25P25050,103.9,215.1,201.08,124.7
2025-09-26 09:49:13.049876+05:30,NIFTY30SEP25P25500,354.15,640.9,620.18,425.0
2025-09-26 09:49:20.107747+05:30,NIFTY30SEP25C24900,175.4,70.7,83.57,210.5
2025-09-26 09:49:20.107747+05:30,NIFTY30SEP25C24950,122.2,52.65,62.24,146.65
2025-09-26 09:49:20.107747+05:30,NIFTY30SEP25P25050,103.9,216.7,201.08,124.7
2025-09-26 09:49:20.107747+05:30,NIFTY30SEP25P25500,354.15,643.1,620.18,425.0
2025-09-26 09:49:32.992841+05:30,NIFTY30SEP25C24900,175.4,72.2,83.57,210.5
2025-09-26 09:49:32.992841+05:30,NIFTY30SEP25C24950,122.2,53.25,62.24,146.65
2025-09-26 09:49:32.992841+05:30,NIFTY30SEP25P25050,103.9,213.8,201.08,124.7
2025-09-26 09:49:32.992841+05:30,NIFTY30SEP25P25500,354.15,640.0,620.18,425.0
2025-09-26 09:49:40.115041+05:30,NIFTY30SEP25C24900,175.4,71.15,83.57,210.5
2025-09-26 09:49:40.115041+05:30,NIFTY30SEP25C24950,122.2,52.4,62.24,146.65
2025-09-26 09:49:40.115041+05:30,NIFTY30SEP25P25050,103.9,215.3,201.08,124.7
2025-09-26 09:49:40.115041+05:30,NIFTY30SEP25P25500,354.15,639.5,620.18,425.0
2025-09-26 09:49:53.135101+05:30,NIFTY30SEP25C24900,175.4,72.55,83.57,210.5
2025-09-26 09:49:53.135101+05:30,NIFTY30SEP25C24950,122.2,53.55,62.24,146.65
2025-09-26 09:49:53.135101+05:30,NIFTY30SEP25P25050,103.9,214.35,201.08,124.7
2025-09-26 09:49:53.135101+05:30,NIFTY30SEP25P25500,354.15,640.0,620.18,425.0
2025-09-26 09:50:00.127307+05:30,NIFTY30SEP25C24900,175.4,71.6,83.57,210.5
2025-09-26 09:50:00.127307+05:30,NIFTY30SEP25C24950,122.2,52.7,62.24,146.65
2025-09-26 09:50:00.127307+05:30,NIFTY30SEP25P25050,103.9,215.15,201.08,124.7
2025-09-26 09:50:00.127307+05:30,NIFTY30SEP25P25500,354.15,640.0,620.18,425.0
2025-09-26 09:50:13.707697+05:30,NIFTY30SEP25C24900,175.4,73.75,83.57,210.5
2025-09-26 09:50:13.707697+05:30,NIFTY30SEP25C24950,122.2,54.55,62.24,146.65
2025-09-26 09:50:13.707697+05:30,NIFTY30SEP25P25050,103.9,213.3,201.08,124.7
2025-09-26 09:50:13.707697+05:30,NIFTY30SEP25P25500,354.15,637.7,620.18,425.0
2025-09-26 09:50:20.127281+05:30,NIFTY30SEP25C24900,175.4,72.4,83.57,210.5
2025-09-26 09:50:20.127281+05:30,NIFTY30SEP25C24950,122.2,53.3,62.24,146.65
2025-09-26 09:50:20.127281+05:30,NIFTY30SEP25P25050,103.9,215.0,201.08,124.7
2025-09-26 09:50:20.127281+05:30,NIFTY30SEP25P25500,354.15,637.65,620.18,425.0
2025-09-26 09:50:32.840927+05:30,NIFTY30SEP25C24900,175.4,73.85,83.57,210.5
2025-09-26 09:50:32.840927+05:30,NIFTY30SEP25C24950,122.2,54.25,62.24,146.65
2025-09-26 09:50:32.840927+05:30,NIFTY30SEP25P25050,103.9,212.9,201.08,124.7
2025-09-26 09:50:32.840927+05:30,NIFTY30SEP25P25500,354.15,637.65,620.18,425.0
2025-09-26 09:50:40.126292+05:30,NIFTY30SEP25C24900,175.4,72.2,83.57,210.5
2025-09-26 09:50:40.126292+05:30,NIFTY30SEP25C24950,122.2,53.5,62.24,146.65
2025-09-26 09:50:40.126292+05:30,NIFTY30SEP25P25050,103.9,214.2,201.08,124.7
2025-09-26 09:50:40.126292+05:30,NIFTY30SEP25P25500,354.15,637.65,620.18,425.0
2025-09-26 09:50:53.324169+05:30,NIFTY30SEP25C24900,175.4,71.0,83.57,210.5
2025-09-26 09:50:53.324169+05:30,NIFTY30SEP25C24950,122.2,52.4,62.24,146.65
2025-09-26 09:50:53.324169+05:30,NIFTY30SEP25P25050,103.9,216.55,201.08,124.7
2025-09-26 09:50:53.324169+05:30,NIFTY30SEP25P25500,354.15,641.7,620.18,425.0
2025-09-26 09:51:00.126634+05:30,NIFTY30SEP25C24900,175.4,71.75,83.57,210.5
2025-09-26 09:51:00.126634+05:30,NIFTY30SEP25C24950,122.2,53.15,62.24,146.65
2025-09-26 09:51:00.126634+05:30,NIFTY30SEP25P25050,103.9,215.2,201.08,124.7
2025-09-26 09:51:00.126634+05:30,NIFTY30SEP25P25500,354.15,641.45,620.18,425.0
2025-09-26 09:51:14.114702+05:30,NIFTY30SEP25C24900,175.4,71.4,83.57,210.5
2025-09-26 09:51:14.114702+05:30,NIFTY30SEP25C24950,122.2,52.95,62.24,146.65
2025-09-26 09:51:14.114702+05:30,NIFTY30SEP25P25050,103.9,216.1,201.08,124.7
2025-09-26 09:51:14.114702+05:30,NIFTY30SEP25P25500,354.15,645.45,620.18,425.0
2025-09-26 09:51:20.159523+05:30,NIFTY30SEP25C24900,175.4,70.8,83.57,210.5
2025-09-26 09:51:20.159523+05:30,NIFTY30SEP25C24950,122.2,52.45,62.24,146.65
2025-09-26 09:51:20.159523+05:30,NIFTY30SEP25P25050,103.9,215.85,201.08,124.7
2025-09-26 09:51:20.159523+05:30,NIFTY30SEP25P25500,354.15,641.75,620.18,425.0
