Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM
2025-09-26 14:28:24,NIFTY30SEP25P25050,60482,Yes,-75,0,75,103.90,103.90,NRML,IBBM Intraday,386.70,-18318.75,0.00,-21210.00
2025-09-26 14:28:25,NIFTY30SEP25P25500,60500,Yes,-75,0,75,354.15,354.15,NRML,Monthly Straddle,828.75,-21723.75,0.00,-35595.00
2025-09-26 14:28:25,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.40,18.40,NRML,Monthly Straddle,3.35,71.25,-0.00,-1128.75
2025-09-26 14:28:26,NIFTY30SEP25P23900,60362,Yes,75,75,0,9.70,9.70,NRML,Monthly Straddle,3.65,86.25,-0.00,-453.75
2025-09-26 14:28:26,NIFTY30SEP25C25650,60505,Yes,75,75,0,5.30,5.30,NRML,,3.25,-52.50,-0.00,-153.75
2025-09-26 14:28:27,NIFTY30SEP25C26200,60566,Yes,150,150,0,4.13,4.13,NRML,Monthly Straddle,1.80,-15.00,-0.00,-349.50
2025-09-26 14:28:27,NIFTY30SEP25C24900,60469,No,0,75,75,56.50,134.50,NRML,,26.55,0.00,5850.00,0.00
2025-09-26 14:28:28,NIFTY30SEP25C24950,60474,No,0,150,150,46.88,105.10,NRML,,20.60,0.00,8733.75,0.00
2025-09-26 14:28:28,NIFTY30SEP25C24750,60461,No,0,75,75,63.45,150.15,NRML,,62.95,0.00,6502.50,0.00
2025-09-26 14:28:29,NIFTY30SEP25P24500,60450,No,0,75,75,12.65,15.70,NRML,,35.90,0.00,228.75,0.00
2025-09-26 14:28:30,NIFTY30SEP25P24850,60468,No,0,300,300,100.69,99.41,NRML,,209.50,0.00,-382.50,0.00
2025-09-26 14:28:30,NIFTY30SEP25C24700,60457,No,0,75,75,84.00,170.75,NRML,,83.65,0.00,6506.25,0.00
