DateTime,Symbol,SoldPrice,LTP,VWAP,SLPrice
2025-10-03 10:00:45.303442+05:30,NIFTY14OCT25P24750,92.75,92.3,109.14,111.3
2025-10-03 10:00:45.303442+05:30,NIFTY14OCT25C25050,82.8,83.1,72.83,99.4
2025-10-03 10:00:55.324226+05:30,NIFTY14OCT25P24750,92.75,93.5,109.14,111.3
2025-10-03 10:00:55.324226+05:30,NIFTY14OCT25C25050,82.8,82.15,72.83,99.4
2025-10-03 10:00:59.916327+05:30,NIFTY14OCT25P24750,92.75,95.0,109.14,111.3
2025-10-03 10:00:59.916327+05:30,NIFTY14OCT25C25050,82.8,79.2,72.83,99.4
2025-10-03 10:01:05.310709+05:30,NIFTY14OCT25P24750,92.75,95.45,109.14,111.3
2025-10-03 10:01:05.310709+05:30,NIFTY14OCT25C25050,82.8,79.1,72.83,99.4
2025-10-03 10:01:09.933327+05:30,NIFTY14OCT25P24750,92.75,95.45,109.14,111.3
2025-10-03 10:01:09.933327+05:30,NIFTY14OCT25C25050,82.8,79.35,72.83,99.4
2025-10-03 10:01:15.305200+05:30,NIFTY14OCT25P24750,92.75,95.0,109.14,111.3
2025-10-03 10:01:15.305200+05:30,NIFTY14OCT25C25050,82.8,80.55,72.83,99.4
2025-10-03 10:01:19.942317+05:30,NIFTY14OCT25P24750,92.75,95.55,109.14,111.3
2025-10-03 10:01:19.942317+05:30,NIFTY14OCT25C25050,82.8,80.4,72.83,99.4
2025-10-03 10:01:25.315119+05:30,NIFTY14OCT25P24750,92.75,94.95,109.14,111.3
2025-10-03 10:01:25.315119+05:30,NIFTY14OCT25C25050,82.8,81.25,72.83,99.4
2025-10-03 10:01:29.948167+05:30,NIFTY14OCT25P24750,92.75,94.95,109.14,111.3
2025-10-03 10:01:29.948167+05:30,NIFTY14OCT25C25050,82.8,81.05,72.83,99.4
2025-10-03 10:01:35.359208+05:30,NIFTY14OCT25P24750,92.75,94.95,109.14,111.3
2025-10-03 10:01:35.359208+05:30,NIFTY14OCT25C25050,82.8,80.95,72.83,99.4
2025-10-03 10:01:39.954001+05:30,NIFTY14OCT25P24750,92.75,94.9,109.14,111.3
2025-10-03 10:01:39.954001+05:30,NIFTY14OCT25C25050,82.8,80.85,72.83,99.4
2025-10-03 10:01:45.336435+05:30,NIFTY14OCT25P24750,92.75,94.9,109.14,111.3
2025-10-03 10:01:45.336435+05:30,NIFTY14OCT25C25050,82.8,80.85,72.83,99.4
2025-10-03 10:01:49.949161+05:30,NIFTY14OCT25P24750,92.75,96.3,109.14,111.3
2025-10-03 10:01:49.949161+05:30,NIFTY14OCT25C25050,82.8,80.2,72.83,99.4
2025-10-03 10:01:55.736558+05:30,NIFTY14OCT25P24750,92.75,95.9,109.14,111.3
2025-10-03 10:01:55.736558+05:30,NIFTY14OCT25C25050,82.8,80.45,72.83,99.4
2025-10-03 10:01:59.955586+05:30,NIFTY14OCT25P24750,92.75,95.6,109.14,111.3
2025-10-03 10:01:59.955586+05:30,NIFTY14OCT25C25050,82.8,80.95,72.83,99.4
2025-10-03 10:02:05.371312+05:30,NIFTY14OCT25P24750,92.75,95.35,109.14,111.3
2025-10-03 10:02:05.371312+05:30,NIFTY14OCT25C25050,82.8,81.15,72.83,99.4
2025-10-03 10:02:09.948233+05:30,NIFTY14OCT25P24750,92.75,95.75,109.14,111.3
2025-10-03 10:02:09.948233+05:30,NIFTY14OCT25C25050,82.8,80.85,72.83,99.4
2025-10-03 10:02:15.673787+05:30,NIFTY14OCT25P24750,92.75,95.75,109.14,111.3
2025-10-03 10:02:15.673787+05:30,NIFTY14OCT25C25050,82.8,80.6,72.83,99.4
2025-10-03 10:02:25.478412+05:30,NIFTY14OCT25P24750,92.75,95.75,109.14,111.3
2025-10-03 10:02:25.478412+05:30,NIFTY14OCT25C25050,82.8,80.65,72.83,99.4
2025-10-03 10:02:29.983932+05:30,NIFTY14OCT25P24750,92.75,97.0,109.14,111.3
2025-10-03 10:02:29.983932+05:30,NIFTY14OCT25C25050,82.8,79.25,72.83,99.4
2025-10-03 10:02:35.413511+05:30,NIFTY14OCT25P24750,92.75,97.35,109.14,111.3
2025-10-03 10:02:35.413511+05:30,NIFTY14OCT25C25050,82.8,80.0,72.83,99.4
2025-10-03 10:02:39.997889+05:30,NIFTY14OCT25P24750,92.75,96.2,109.14,111.3
2025-10-03 10:02:39.997889+05:30,NIFTY14OCT25C25050,82.8,79.9,72.83,99.4
2025-10-03 10:02:45.395303+05:30,NIFTY14OCT25P24750,92.75,96.85,109.14,111.3
2025-10-03 10:02:45.395303+05:30,NIFTY14OCT25C25050,82.8,79.75,72.83,99.4
2025-10-03 10:02:50.007930+05:30,NIFTY14OCT25P24750,92.75,96.65,109.14,111.3
2025-10-03 10:02:50.007930+05:30,NIFTY14OCT25C25050,82.8,80.05,72.83,99.4
2025-10-03 10:02:55.445994+05:30,NIFTY14OCT25P24750,92.75,97.55,109.14,111.3
2025-10-03 10:02:55.445994+05:30,NIFTY14OCT25C25050,82.8,78.2,72.83,99.4
2025-10-03 10:03:00.007848+05:30,NIFTY14OCT25P24750,92.75,97.15,109.14,111.3
2025-10-03 10:03:00.007848+05:30,NIFTY14OCT25C25050,82.8,78.35,72.83,99.4
2025-10-03 10:03:05.416416+05:30,NIFTY14OCT25P24750,92.75,98.35,109.14,111.3
2025-10-03 10:03:05.416416+05:30,NIFTY14OCT25C25050,82.8,77.4,72.83,99.4
2025-10-03 10:03:10.013639+05:30,NIFTY14OCT25P24750,92.75,98.45,109.14,111.3
2025-10-03 10:03:10.013639+05:30,NIFTY14OCT25C25050,82.8,77.9,72.83,99.4
2025-10-03 10:03:15.454906+05:30,NIFTY14OCT25P24750,92.75,98.45,109.14,111.3
2025-10-03 10:03:15.454906+05:30,NIFTY14OCT25C25050,82.8,78.05,72.83,99.4
2025-10-03 10:03:20.021101+05:30,NIFTY14OCT25P24750,92.75,97.75,109.14,111.3
2025-10-03 10:03:20.021101+05:30,NIFTY14OCT25C25050,82.8,78.25,72.83,99.4
2025-10-03 10:03:25.480062+05:30,NIFTY14OCT25P24750,92.75,97.3,109.14,111.3
2025-10-03 10:03:25.480062+05:30,NIFTY14OCT25C25050,82.8,78.1,72.83,99.4
2025-10-03 10:03:35.468040+05:30,NIFTY14OCT25P24750,92.75,97.3,109.14,111.3
2025-10-03 10:03:35.468040+05:30,NIFTY14OCT25C25050,82.8,77.6,72.83,99.4
2025-10-03 10:03:40.024938+05:30,NIFTY14OCT25P24750,92.75,98.2,109.14,111.3
2025-10-03 10:03:40.024938+05:30,NIFTY14OCT25C25050,82.8,76.95,72.83,99.4
2025-10-03 10:03:45.499140+05:30,NIFTY14OCT25P24750,92.75,98.2,109.14,111.3
2025-10-03 10:03:45.499140+05:30,NIFTY14OCT25C25050,82.8,76.35,72.83,99.4
2025-10-03 10:03:50.037488+05:30,NIFTY14OCT25P24750,92.75,98.85,109.14,111.3
2025-10-03 10:03:50.037488+05:30,NIFTY14OCT25C25050,82.8,76.95,72.83,99.4
2025-10-03 10:03:55.483747+05:30,NIFTY14OCT25P24750,92.75,98.85,109.14,111.3
2025-10-03 10:03:55.483747+05:30,NIFTY14OCT25C25050,82.8,76.65,72.83,99.4
2025-10-03 10:04:00.042118+05:30,NIFTY14OCT25P24750,92.75,98.8,109.14,111.3
2025-10-03 10:04:00.042118+05:30,NIFTY14OCT25C25050,82.8,76.9,72.83,99.4
2025-10-03 10:04:05.465130+05:30,NIFTY14OCT25P24750,92.75,99.2,109.14,111.3
2025-10-03 10:04:05.465130+05:30,NIFTY14OCT25C25050,82.8,76.65,72.83,99.4
2025-10-03 10:04:10.053630+05:30,NIFTY14OCT25P24750,92.75,99.55,109.14,111.3
2025-10-03 10:04:10.053630+05:30,NIFTY14OCT25C25050,82.8,76.65,72.83,99.4
2025-10-03 10:04:15.462460+05:30,NIFTY14OCT25P24750,92.75,99.7,109.14,111.3
2025-10-03 10:04:15.462460+05:30,NIFTY14OCT25C25050,82.8,76.55,72.83,99.4
2025-10-03 10:04:20.068252+05:30,NIFTY14OCT25P24750,92.75,99.4,109.14,111.3
2025-10-03 10:04:20.068252+05:30,NIFTY14OCT25C25050,82.8,76.3,72.83,99.4
2025-10-03 10:04:25.459029+05:30,NIFTY14OCT25P24750,92.75,99.2,109.14,111.3
2025-10-03 10:04:25.459029+05:30,NIFTY14OCT25C25050,82.8,76.75,72.83,99.4
2025-10-03 10:04:30.084858+05:30,NIFTY14OCT25P24750,92.75,99.9,109.14,111.3
2025-10-03 10:04:30.084858+05:30,NIFTY14OCT25C25050,82.8,76.75,72.83,99.4
2025-10-03 10:04:35.486184+05:30,NIFTY14OCT25P24750,92.75,99.1,109.14,111.3
2025-10-03 10:04:35.486184+05:30,NIFTY14OCT25C25050,82.8,77.0,72.83,99.4
2025-10-03 10:04:40.084888+05:30,NIFTY14OCT25P24750,92.75,99.15,109.14,111.3
2025-10-03 10:04:40.084888+05:30,NIFTY14OCT25C25050,82.8,76.8,72.83,99.4
2025-10-03 10:04:45.472249+05:30,NIFTY14OCT25P24750,92.75,98.85,109.14,111.3
2025-10-03 10:04:45.472249+05:30,NIFTY14OCT25C25050,82.8,77.1,72.83,99.4
2025-10-03 10:04:50.097423+05:30,NIFTY14OCT25P24750,92.75,98.65,109.14,111.3
2025-10-03 10:04:50.097423+05:30,NIFTY14OCT25C25050,82.8,77.15,72.83,99.4
2025-10-03 10:04:55.508924+05:30,NIFTY14OCT25P24750,92.75,98.4,109.14,111.3
