symbol,token,strategy,spot_price,assigned_date,status
NIFTY07OCT25C24850,38371,IBBM Intraday,24753.05,2025-10-01 12:46:41,Active
NIFTY07OCT25P24550,38352,IBBM Intraday,24667.95,2025-09-30 09:50:18,Active
NIFTY07OCT25P24850,38372,IBBM Intraday,24846.45,2025-10-01 14:46:11,Active
NIFTY07OCT25C24900,38374,IBBM Intraday,24846.45,2025-10-01 14:46:11,Active
NIFTY07OCT25P24800,38370,IBBM Intraday,24753.05,2025-10-01 12:46:41,Active
NIFTY07OCT25C25300,38403,IBBM Intraday,24753.05,2025-10-01 12:46:41,Active
NIFTY30SEP25C24650,60455,Monthly Straddle,24836.3,2025-10-01 22:44:43,Active
NIFTY30SEP25P25500,60500,Monthly Straddle,24836.3,2025-10-01 22:44:43,Active
NIFTY30SEP25C26200,60566,Monthly Straddle Hedge,24836.3,2025-10-01 22:44:43,Active
NIFTY30SEP25P23850,60358,Monthly Straddle Hedge,24836.3,2025-10-01 22:44:43,Active
