Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM
25/09/2025 13:01,NIFTY30SEP25P25050,60482,Yes,-75,75,75,83.45,83.45,NRML,IBBM Intraday,107.9,-1213.13,-995.62,-1833.75
25/09/2025 13:01,NIFTY30SEP25P25500,60500,Yes,-75,0,75,354.15,354.15,NRML,Monthly Straddle,479,-5887.5,0,-9363.75
25/09/2025 13:01,NIFTY30SEP25C24950,60474,Yes,-75,0,75,141.95,141.95,NRML,Monthly Straddle,143.45,-112.5,0,-112.5
25/09/2025 13:01,NIFTY30SEP25C24900,60469,Yes,-75,0,75,175.4,175.4,NRML,Monthly Straddle,178.25,-213.75,0,-213.75
25/09/2025 13:01,NIFTY30SEP25C25050,60481,Yes,-75,75,150,83.38,83.38,NRML,Monthly Straddle,86.8,-256.87,-1.88,-256.5
25/09/2025 13:01,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,18.4,NRML,Monthly Straddle,3.05,15,0,-1151.25
25/09/2025 13:01,NIFTY30SEP25P23900,60362,Yes,75,75,0,9.7,9.7,NRML,Monthly Straddle,3.15,15,0,-491.25
25/09/2025 13:01,NIFTY30SEP25C26200,60566,Yes,150,150,0,4.13,4.13,NRML,Monthly Straddle,2.3,112.5,0,-274.5
25/09/2025 13:01,NIFTY30SEP25C25650,60505,Yes,75,75,0,5.3,5.3,NRML,Monthly Straddle,5.2,-7.5,0,-7.5
25/09/2025 13:01,NIFTY30SEP25C25150,60485,No,0,75,75,48.65,86,NRML,Monthly Straddle,49.45,0,2801.25,0
25/09/2025 13:01,NIFTY30SEP25C25200,60487,No,0,75,75,36,65.3,NRML,Monthly Straddle,36.6,0,2197.5,0
25/09/2025 13:01,NIFTY30SEP25P24650,60456,No,0,75,75,14.45,13.7,NRML,Monthly Straddle,13.25,0,-56.25,0
