Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM,SourceFile,Date
2025-09-10 23:59:50,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0.0,343.85,NRML,,507.5,-6461.25,0.0,-12273.75,2025-09-10_positions.csv,2025-09-10
2025-09-10 23:59:50,NIFTY30SEP25P24650,60456,Yes,-75,75,75,0.0,162.07,NRML,,83.05,1419.37,1291.88,5926.5,2025-09-10_positions.csv,2025-09-10
2025-09-10 23:59:50,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0.0,227.05,NRML,,227.7,-48.75,0.0,-48.75,2025-09-10_positions.csv,2025-09-10
2025-09-10 23:59:50,INFY-EQ,1594,Yes,-2,0,2,0.0,1522.5,CNC,,1532.6,-20.2,0.0,-20.2,2025-09-10_positions.csv,2025-09-10
2025-09-10 23:59:50,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0.0,NRML,,17.55,-63.75,-0.0,-63.75,2025-09-10_positions.csv,2025-09-10
2025-09-11 23:30:26,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0.0,343.85,NRML,,524.9,-1500.0,0.0,-13578.75,2025-09-11_positions.csv,2025-09-11
2025-09-11 23:30:26,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0.0,85.1,NRML,,66.25,1215.0,0.0,1413.75,2025-09-11_positions.csv,2025-09-11
2025-09-11 23:30:26,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0.0,227.05,NRML,,200.0,2283.75,0.0,2028.75,2025-09-11_positions.csv,2025-09-11
2025-09-11 23:30:26,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0.0,NRML,,13.7,-281.25,-0.0,-352.5,2025-09-11_positions.csv,2025-09-11
2025-09-12 17:50:46,NIFTY23SEP25P25000,47734,No,0,75,75,81.65,82.6,NRML,,78.6,0.0,71.25,0.0,2025-09-12_positions.csv,2025-09-12
2025-09-12 17:50:46,NIFTY23SEP25P23950,47569,No,0,75,75,5.55,5.55,NRML,,6.0,0.0,0.0,0.0,2025-09-12_positions.csv,2025-09-12
2025-09-12 17:50:46,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0.0,NRML,,12.1,-161.25,-0.0,-472.5,2025-09-12_positions.csv,2025-09-12
2025-09-12 17:50:46,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0.0,85.1,NRML,,46.0,1680.0,0.0,2932.5,2025-09-12_positions.csv,2025-09-12
2025-09-12 17:50:46,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0.0,343.85,NRML,,603.0,-5763.75,0.0,-19436.25,2025-09-12_positions.csv,2025-09-12
2025-09-12 17:50:46,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0.0,227.05,NRML,,146.7,4192.5,0.0,6026.25,2025-09-12_positions.csv,2025-09-12
2025-09-13 23:59:54,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0.0,343.85,NRML,,608.6,-225.0,0.0,-19856.25,2025-09-13_positions.csv,2025-09-13
2025-09-13 23:59:54,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0.0,85.1,NRML,,48.7,-135.0,0.0,2730.0,2025-09-13_positions.csv,2025-09-13
2025-09-13 23:59:54,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0.0,227.05,NRML,,151.95,-191.25,0.0,5632.5,2025-09-13_positions.csv,2025-09-13
2025-09-13 23:59:54,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0.0,NRML,,12.7,60.0,-0.0,-427.5,2025-09-13_positions.csv,2025-09-13
2025-09-14 23:58:38,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0.0,NRML,,12.7,60.0,-0.0,-427.5,2025-09-14_positions.csv,2025-09-14
2025-09-14 23:58:38,NIFTY30SEP25P25100,60484,Yes,-75,0,75,0.0,227.05,NRML,,151.95,-191.25,0.0,5632.5,2025-09-14_positions.csv,2025-09-14
2025-09-14 23:58:38,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0.0,343.85,NRML,,608.6,-225.0,0.0,-19856.25,2025-09-14_positions.csv,2025-09-14
2025-09-14 23:58:38,NIFTY30SEP25P24650,60456,Yes,-75,0,75,0.0,85.1,NRML,,48.7,-135.0,0.0,2730.0,2025-09-14_positions.csv,2025-09-14
2025-09-15 23:57:06,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0.0,343.85,NRML,IBBM Intraday,562.55,3228.75,0.0,-16402.5,2025-09-15_positions.csv,2025-09-15
2025-09-15 23:57:06,NIFTY30SEP25P25100,60484,Yes,-150,0,75,0.0,189.47,NRML,IBBM Intraday,154.0,-502.5,0.0,5320.5,2025-09-15_positions.csv,2025-09-15
2025-09-15 23:57:06,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0.0,NRML,IBBM Intraday,10.8,-82.5,-0.0,-570.0,2025-09-15_positions.csv,2025-09-15
2025-09-15 23:57:06,NIFTY30SEP25P24650,60456,No,0,75,75,45.05,46.9,NRML,IBBM Intraday,45.0,0.0,138.75,0.0,2025-09-15_positions.csv,2025-09-15
2025-09-15 23:57:06,NIFTY16SEP25C25450,44813,No,0,75,75,2.15,1.85,NRML,IBBM Intraday,1.7,0.0,-22.5,0.0,2025-09-15_positions.csv,2025-09-15
2025-09-15 23:57:06,NIFTY16SEP25C25100,44713,No,0,75,75,53.65,56.15,NRML,IBBM Intraday,45.4,0.0,187.5,0.0,2025-09-15_positions.csv,2025-09-15
2025-09-16 13:47:55,NIFTY30SEP25P25100,60484,Yes,-150,0,150,0.0,189.48,NRML,,110.3,6570.0,0.0,11877.0,2025-09-16_positions.csv,2025-09-16
2025-09-16 13:47:55,NIFTY30SEP25C24650,60455,Yes,-75,0,75,0.0,343.85,NRML,,664.4,-7770.0,0.0,-24041.25,2025-09-16_positions.csv,2025-09-16
2025-09-16 13:47:55,NIFTY30SEP25P23850,60358,Yes,75,75,0,18.4,0.0,NRML,,9.25,-78.75,-0.0,-686.25,2025-09-16_positions.csv,2025-09-16
2025-09-16 13:47:55,NIFTY30SEP25C26200,60566,Yes,75,75,0,7.15,0.0,NRML,,7.15,0.0,-0.0,0.0,2025-09-16_positions.csv,2025-09-16
2025-09-16 13:47:55,NIFTY30SEP25P23900,60362,Yes,75,75,0,9.7,0.0,NRML,,9.65,-3.75,-0.0,-3.75,2025-09-16_positions.csv,2025-09-16
2025-09-16 13:47:55,NIFTY23SEP25P24100,47579,No,0,75,75,5.15,4.95,MIS,,5.1,0.0,-15.0,0.0,2025-09-16_positions.csv,2025-09-16
