Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM
2025-10-09 16:03:04,NIFTY14OCT25C24950,42671,Yes,-75,0,75,154.75,154.75,NRML,IBBM Intraday,279.45,-8538.75,0.00,-9352.50
2025-10-09 16:03:04,NIFTY14OCT25C25200,42687,Yes,-75,0,75,59.10,59.10,NRML,IBBM Intraday,90.60,-2362.50,0.00,-2362.50
2025-10-09 16:03:04,NIFTY14OCT25P25300,42694,Yes,-75,0,75,137.05,137.05,NRML,IBBM Intraday,133.65,255.00,0.00,255.00
2025-10-09 16:03:04,NIFTY14OCT25P25350,42702,Yes,-75,0,75,172.00,172.00,NRML,IBBM Intraday,168.20,285.00,0.00,285.00
2025-10-09 16:03:04,NIFTY14OCT25C25850,42723,Yes,150,150,0,2.70,2.70,NRML,IBBM Intraday,1.40,-195.00,-0.00,-195.00
2025-10-09 16:03:04,NIFTY14OCT25P23950,42608,Yes,150,150,0,2.45,2.45,NRML,IBBM Intraday,1.85,-90.00,-0.00,-90.00
2025-10-09 16:03:04,NIFTY14OCT25C25100,42679,No,0,75,75,117.50,92.05,NRML,IBBM Intraday,154.10,0.00,-1908.75,0.00
2025-10-09 16:03:04,NIFTY14OCT25P25150,42686,No,0,150,75,80.80,113.38,NRML,IBBM Intraday,57.20,0.00,4886.25,0.00
2025-10-09 16:03:04,NIFTY14OCT25P25050,42678,No,0,150,150,51.85,75.20,NRML,IBBM Intraday,30.10,0.00,3502.50,0.00
2025-10-09 16:03:04,NIFTY14OCT25P25250,42692,No,0,75,75,106.30,141.90,NRML,IBBM Intraday,103.20,0.00,2670.00,0.00
2025-10-09 16:03:04,NIFTY14OCT25P25200,42690,No,0,75,75,81.15,96.25,NRML,IBBM Intraday,77.60,0.00,1132.50,0.00
