Timestamp (IST),Category,Message
2025-09-14 00:03:48 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:03:50 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:03:57 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:03:59 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:04:00 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:04:07 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:04:09 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:04:10 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:04:17 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:04:18 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:04:20 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:04:27 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:04:28 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:04:30 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:04:37 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:04:38 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:04:39 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:04:47 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:04:49 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:04:50 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:04:57 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:04:58 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:04:59 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:05:08 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:05:09 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:05:10 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:05:17 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:05:18 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:05:20 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:05:27 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:05:28 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:05:30 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:05:37 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:05:39 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:05:40 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:05:47 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:05:48 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:05:49 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:05:57 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:05:58 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:05:59 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:06:07 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:06:09 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:06:10 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:06:17 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:06:18 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:06:20 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:06:27 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-14 00:06:30 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-14 00:06:30 IST,INFO,Application starting up at 2025-09-14 00:06:30 IST
2025-09-14 00:06:31 IST,INFO,UI loaded successfully at 2025-09-14 00:06:30 IST
2025-09-14 00:06:31 IST,DEBUG,Tables initialized in 0.03 seconds
2025-09-14 00:06:31 IST,DEBUG,UI initialization completed in 0.82 seconds
2025-09-14 00:06:31 IST,INFO,Initializing ClientManager
2025-09-14 00:06:31 IST,INFO,ClientManager initialized at 2025-09-14 00:06:31 IST
2025-09-14 00:06:31 IST,INFO,Initializing PositionManager
2025-09-14 00:06:31 IST,INFO,Initializing OptionLoader
2025-09-14 00:06:31 IST,INFO,OptionLoader initialized at 2025-09-14 00:06:31 IST
2025-09-14 00:06:31 IST,IBBM STRATEGY,Strategy initialized - Runs at 09:45 and monitors trend/SL till 14:45 IST
2025-09-14 00:06:31 IST,INFO,Initializing Monthly Straddle Strategy
2025-09-14 00:06:31 IST,INFO,Initializing Daily Intraday Straddle Strategy
2025-09-14 00:06:31 IST,INFO,Client loading initiated at 00:06:31 IST
2025-09-14 00:06:31 IST,INFO,Starting client loading process
2025-09-14 00:06:32 IST,INFO,AMIYA RANJAN ROUT logged in successfully at 00:06:31 IST
2025-09-14 00:06:32 IST,INFO,Successfully loaded 1/1 clients in 0.77 seconds
2025-09-14 00:06:32 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-14 00:06:32 IST,INFO,Margin retrieved for AMIYA RANJAN ROUT
2025-09-14 00:06:32 IST,INFO,Appended margin details to 2025-09-14-day_available_margin_detl.csv
2025-09-14 00:06:34 IST,INFO,"Clients, positions and MTM loaded successfully"
2025-09-14 00:06:34 IST,INFO,Loading expiry dates...
2025-09-14 00:06:34 IST,INFO,Starting expiry dates loading process
2025-09-14 00:06:34 IST,INFO,Loaded 5 expiry dates in 0.28 seconds
2025-09-14 00:06:34 IST,INFO,Expiry dates loaded in 0.28 seconds
2025-09-14 00:06:34 IST,INFO,Client loading process completed in 3.10 seconds
2025-09-14 00:06:34 IST,INFO,Daily straddle strategy scheduled to run
2025-09-14 00:06:34 IST,INFO,Application UI shown successfully at 2025-09-14 00:06:34 IST
2025-09-14 00:06:35 IST,INFO,API 🟢 ONLINE
2025-09-14 00:06:35 IST,INFO,API status monitoring started
2025-09-14 00:06:35 IST,INFO,Initializing OpstraOptionLoader
2025-09-14 00:06:35 IST,ERROR,Application initialization failed: OpstraOptionLoader.__init__() missing 1 required positional argument: 'logger'
2025-09-14 00:06:35 IST,CRITICAL,Application crashed at 2025-09-14 00:06:35 IST: OpstraOptionLoader.__init__() missing 1 required positional argument: 'logger'
2025-09-14 00:06:35 IST,ERROR,Spot price update error: Invalid spot quote: None
2025-09-14 00:06:36 IST,WARNING,Invalid quote response for token 60455: None
