Timestamp (IST),Category,Message
2025-09-13 19:30:24 IST,INFO,Application starting up at 2025-09-13 19:30:24 IST
2025-09-13 19:30:25 IST,INFO,UI loaded successfully at 2025-09-13 19:30:24 IST
2025-09-13 19:30:25 IST,DEBUG,Tables initialized in 0.00 seconds
2025-09-13 19:30:25 IST,DEBUG,UI initialization completed in 0.72 seconds
2025-09-13 19:30:25 IST,INFO,Initializing ClientManager
2025-09-13 19:30:25 IST,INFO,ClientManager initialized at 2025-09-13 19:30:25 IST
2025-09-13 19:30:25 IST,INFO,Initializing PositionManager
2025-09-13 19:30:25 IST,INFO,Initializing OptionLoader
2025-09-13 19:30:25 IST,DEBUG,Option table initialized in 0.00 seconds
2025-09-13 19:30:25 IST,INFO,OptionLoader initialized at 2025-09-13 19:30:25 IST
2025-09-13 19:30:25 IST,IBBM STRATEGY,Strategy initialized - Runs at 09:45 and monitors trend/SL till 14:45 IST
2025-09-13 19:30:25 IST,INFO,Initializing Monthly Straddle Strategy
2025-09-13 19:30:25 IST,INFO,Initializing Daily Intraday Straddle Strategy
2025-09-13 19:30:25 IST,INFO,Client loading initiated at 19:30:25 IST
2025-09-13 19:30:25 IST,INFO,Starting client loading process
2025-09-13 19:30:26 IST,INFO,AMIYA RANJAN ROUT logged in successfully at 19:30:25 IST
2025-09-13 19:30:26 IST,INFO,Successfully loaded 1/1 clients in 0.75 seconds
2025-09-13 19:30:27 IST,INFO,Margin retrieved for AMIYA RANJAN ROUT
2025-09-13 19:30:27 IST,INFO,Appended margin details to 2025-09-13-day_available_margin_detl.csv
2025-09-13 19:30:28 IST,INFO,"Clients, positions and MTM loaded successfully"
2025-09-13 19:30:28 IST,INFO,Loading expiry dates...
2025-09-13 19:30:28 IST,INFO,Starting expiry dates loading process
2025-09-13 19:30:28 IST,INFO,Loaded 5 expiry dates in 0.36 seconds
2025-09-13 19:30:28 IST,INFO,Expiry dates loaded in 0.36 seconds
2025-09-13 19:30:28 IST,INFO,Client loading process completed in 3.35 seconds
2025-09-13 19:30:28 IST,INFO,Daily straddle strategy scheduled to run
2025-09-13 19:30:29 IST,INFO,Application UI shown successfully at 2025-09-13 19:30:29 IST
2025-09-13 19:30:30 IST,INFO,API 🟢 ONLINE
2025-09-13 19:30:30 IST,INFO,API status monitoring started
2025-09-13 19:30:30 IST,INFO,Initializing OpstraOptionLoader
2025-09-13 19:30:30 IST,INFO,Application will auto-close at 2025-09-14 15:31:00 IST
2025-09-13 19:30:30 IST,INFO,Application running at 2025-09-13 19:30:30 IST
2025-09-13 19:30:30 IST,INFO,Clients loaded - initializing graph data
2025-09-13 19:30:31 IST,INFO,Loaded historical data - no current positions (market likely closed)
2025-09-13 19:30:32 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-13 19:30:34 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-13 19:30:35 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-13 19:34:02 IST,IBBM STRATEGY,Strategy can only run between 09:45 and 14:45
2025-09-13 19:34:02 IST,ERROR,Failed to calculate adjustments: Please enter valid numbers for both range values
2025-09-13 19:34:04 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-13 19:34:05 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-13 19:34:07 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-13 19:34:12 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-13 19:34:13 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-13 19:34:15 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-13 19:34:18 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-13 19:34:19 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-13 19:34:20 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-13 19:34:28 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-13 19:34:29 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
2025-09-13 19:34:31 IST,WARNING,Could not get VWAP for NIFTY30SEP25P25100
2025-09-13 19:34:38 IST,WARNING,Could not get VWAP for NIFTY30SEP25C24650
2025-09-13 19:34:39 IST,WARNING,Could not get VWAP for NIFTY30SEP25P24650
