Timestamp (IST),Category,Message
2025-09-12 09:06:15 IST,INFO,Application starting up at 2025-09-12 09:06:15 IST
2025-09-12 09:06:16 IST,INFO,UI loaded successfully at 2025-09-12 09:06:15 IST
2025-09-12 09:06:16 IST,DEBUG,Tables initialized in 0.02 seconds
2025-09-12 09:06:16 IST,DEBUG,UI initialization completed in 0.76 seconds
2025-09-12 09:06:16 IST,INFO,Initializing ClientManager
2025-09-12 09:06:16 IST,INFO,ClientManager initialized at 2025-09-12 09:06:16 IST
2025-09-12 09:06:16 IST,INFO,Initializing PositionManager
2025-09-12 09:06:16 IST,INFO,Initializing OptionLoader
2025-09-12 09:06:16 IST,DEBUG,Option table initialized in 0.00 seconds
2025-09-12 09:06:16 IST,INFO,OptionLoader initialized at 2025-09-12 09:06:16 IST
2025-09-12 09:06:16 IST,IBBM STRATEGY,Strategy initialized - Runs at 09:45 and monitors trend/SL till 14:45 IST
2025-09-12 09:06:16 IST,INFO,Initializing Monthly Straddle Strategy
2025-09-12 09:06:16 IST,INFO,Initializing Daily Intraday Straddle Strategy
2025-09-12 09:06:16 IST,INFO,Client loading initiated at 09:06:16 IST
2025-09-12 09:06:16 IST,INFO,Starting client loading process
2025-09-12 09:06:17 IST,INFO,AMIYA RANJAN ROUT logged in successfully at 09:06:16 IST
2025-09-12 09:06:17 IST,INFO,Successfully loaded 1/1 clients in 0.78 seconds
2025-09-12 09:06:17 IST,INFO,Margin retrieved for AMIYA RANJAN ROUT
2025-09-12 09:06:17 IST,INFO,Created new margin details file: 2025-09-12-day_available_margin_detl.csv
2025-09-12 09:06:19 IST,INFO,"Clients, positions and MTM loaded successfully"
2025-09-12 09:06:19 IST,INFO,Loading expiry dates...
2025-09-12 09:06:19 IST,INFO,Starting expiry dates loading process
2025-09-12 09:06:19 IST,INFO,Loaded 5 expiry dates in 0.33 seconds
2025-09-12 09:06:19 IST,INFO,Expiry dates loaded in 0.34 seconds
2025-09-12 09:06:19 IST,INFO,Client loading process completed in 3.31 seconds
2025-09-12 09:06:19 IST,INFO,Daily straddle strategy scheduled to run
2025-09-12 09:06:19 IST,INFO,Application UI shown successfully at 2025-09-12 09:06:19 IST
2025-09-12 09:06:20 IST,INFO,API 🟢 ONLINE
2025-09-12 09:06:20 IST,INFO,API status monitoring started
2025-09-12 09:06:20 IST,INFO,Application will auto-close at 2025-09-12 15:31:00 IST
2025-09-12 09:06:20 IST,INFO,Application running at 2025-09-12 09:06:20 IST
2025-09-12 09:06:20 IST,INFO,Clients loaded - initializing graph data
